# STATION: 008HI
# STATION NAME: Palamamnui
# LATITUDE: 19.74800
# LONGITUDE: -155.99600
# ELEVATION [ft]: 869.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
008HI,2024-01-16T01:45:00Z,25.933,60.37,3.092,213.2,513.07,0.0,10.3,,54.82,0.0,15.82,,SSW,,17.66
008HI,2024-01-16T01:50:00Z,26.067,59.97,2.711,208.6,496.46,0.0,10.3,13.56,52.99,0.0,14.43,,SSW,,17.68
008HI,2024-01-16T01:55:00Z,25.989,61.13,3.143,194.1,479.03,0.0,10.3,,50.59,0.0,11.85,,SSW,,17.91
008HI,2024-01-16T02:00:00Z,25.628,62.79,3.581,213.6,452.87,0.0,10.3,13.57,47.51,0.0,10.46,,SSW,,18.0
008HI,2024-01-16T02:05:00Z,25.644,63.55,3.565,211.7,430.8,0.0,10.3,,45.4,0.0,10.03,,SSW,,18.2
008HI,2024-01-16T02:10:00Z,25.539,64.67,2.999,202.3,407.79,0.0,10.3,13.57,41.54,0.0,9.45,,SSW,,18.38
008HI,2024-01-16T02:15:00Z,25.389,65.24,3.303,194.9,389.73,0.0,10.3,,38.38,0.0,7.84,,SSW,,18.38
008HI,2024-01-16T02:20:00Z,25.167,66.57,3.328,205.8,338.22,0.0,10.3,13.58,35.16,0.0,6.58,,SSW,,18.49
008HI,2024-01-16T02:25:00Z,25.306,66.01,3.236,206.8,319.3,0.0,10.3,,34.33,0.0,7.05,,SSW,,18.49
008HI,2024-01-16T02:30:00Z,25.111,66.97,3.226,209.5,225.53,0.0,10.3,13.57,33.55,0.0,6.15,,SSW,,18.53
008HI,2024-01-16T02:35:00Z,25.111,66.97,3.205,210.1,185.58,0.0,10.3,,33.45,0.0,5.56,,SSW,,18.53
008HI,2024-01-16T02:40:00Z,24.989,67.73,3.894,203.7,137.71,0.0,10.3,13.39,31.95,0.0,4.75,,SSW,,18.6
008HI,2024-01-16T02:45:00Z,24.667,69.19,3.611,203.9,112.42,0.0,10.3,,29.76,0.0,3.74,,SSW,,18.63
008HI,2024-01-16T02:50:00Z,24.644,70.38,3.462,202.8,158.36,0.0,10.3,13.39,26.21,0.0,2.26,,SSW,,18.88
008HI,2024-01-16T02:55:00Z,24.428,72.11,3.37,190.2,163.18,0.0,10.3,,22.86,0.0,1.03,,S,,19.06
008HI,2024-01-16T03:00:00Z,24.317,73.9,3.436,198.7,197.26,0.0,10.3,13.48,18.42,0.0,0.0,,SSW,,19.35
008HI,2024-01-16T03:05:00Z,23.928,75.41,4.46,194.6,198.19,0.0,10.3,,14.68,0.0,0.0,,SSW,,19.3
008HI,2024-01-16T03:10:00Z,23.661,76.95,3.462,194.6,141.88,0.0,10.3,13.46,8.49,0.0,0.0,,SSW,,19.37
008HI,2024-01-16T03:15:00Z,23.294,78.62,3.755,196.9,102.88,0.0,10.3,,6.83,0.0,0.0,,SSW,,19.36
008HI,2024-01-16T03:20:00Z,23.039,80.18,3.704,198.3,106.18,0.0,10.3,13.21,10.82,0.0,1.19,,SSW,,19.42
008HI,2024-01-16T03:25:00Z,23.161,80.19,2.922,204.1,97.0,0.0,10.3,,12.72,0.0,3.13,,SSW,,19.55
008HI,2024-01-16T03:30:00Z,23.139,79.94,3.596,202.4,84.44,0.0,10.3,13.22,12.68,0.0,2.51,,SSW,,19.47
008HI,2024-01-16T03:35:00Z,23.022,80.29,4.069,201.5,84.73,0.0,10.3,,13.06,0.0,2.69,,SSW,,19.43
008HI,2024-01-16T03:40:00Z,22.978,80.51,3.647,190.2,57.51,0.0,10.3,13.12,8.89,0.0,1.89,,S,,19.43
008HI,2024-01-16T03:45:00Z,22.844,81.44,3.545,206.0,32.71,0.0,10.3,,4.14,0.0,0.79,,SSW,,19.49
008HI,2024-01-16T03:50:00Z,22.689,82.14,3.303,197.7,25.35,0.0,10.3,12.89,3.3,0.0,1.09,,SSW,,19.47
008HI,2024-01-16T03:55:00Z,22.594,82.89,3.102,190.6,15.24,0.0,10.3,,2.45,0.0,1.27,,S,,19.53
008HI,2024-01-16T04:00:00Z,22.544,83.63,2.809,197.5,9.91,0.0,10.3,12.74,1.83,0.0,1.07,,SSW,,19.62
008HI,2024-01-16T04:05:00Z,22.439,84.27,3.169,198.9,4.31,0.0,10.3,,0.51,0.0,0.71,,SSW,,19.64
008HI,2024-01-16T04:10:00Z,22.35,84.7,3.262,203.6,1.54,0.0,10.3,12.7,0.08,0.0,0.45,,SSW,,19.64
008HI,2024-01-16T04:15:00Z,22.267,84.97,2.649,205.9,0.42,0.0,10.3,,0.01,0.0,0.1,,SSW,,19.61
008HI,2024-01-16T04:20:00Z,22.222,85.06,3.128,198.0,0.0,0.0,10.3,12.68,0.0,0.0,0.0,,SSW,,19.58
008HI,2024-01-16T04:25:00Z,22.117,85.54,2.943,205.6,0.0,0.0,10.3,,0.0,0.0,0.0,,SSW,,19.57
008HI,2024-01-16T04:30:00Z,22.072,85.92,2.752,199.0,0.0,0.0,10.3,12.67,0.0,0.0,0.0,,SSW,,19.59
008HI,2024-01-16T04:35:00Z,22.05,86.06,3.164,200.6,0.0,0.0,10.3,,0.0,0.0,0.0,,SSW,,19.6
008HI,2024-01-16T04:40:00Z,22.039,86.23,2.629,198.3,0.0,0.0,10.3,12.66,0.0,0.0,0.0,,SSW,,19.62
008HI,2024-01-16T04:45:00Z,22.061,86.24,1.78,192.9,0.0,0.0,10.3,,0.02,0.0,0.0,,SSW,,19.64
008HI,2024-01-16T04:50:00Z,22.089,86.23,2.495,197.8,0.0,0.0,10.3,12.74,0.0,0.0,0.0,,SSW,,19.67
008HI,2024-01-16T04:55:00Z,22.039,86.55,2.824,192.4,0.0,0.0,10.3,,0.0,0.0,0.0,,SSW,,19.68
008HI,2024-01-16T05:00:00Z,21.994,86.86,2.222,193.9,0.0,0.0,10.3,12.76,0.0,0.0,0.0,,SSW,,19.69
008HI,2024-01-16T05:05:00Z,21.983,87.07,2.3,188.6,0.0,0.0,10.3,,0.0,0.0,0.0,,S,,19.72
008HI,2024-01-16T05:10:00Z,21.983,87.2,3.118,206.9,0.0,0.0,10.3,12.76,0.0,0.0,0.0,,SSW,,19.75
008HI,2024-01-16T05:15:00Z,21.95,87.44,2.567,186.8,0.0,0.0,10.4,,0.0,0.0,0.0,,S,,19.76
008HI,2024-01-16T05:20:00Z,21.961,87.48,2.058,191.4,0.0,0.0,10.4,12.75,0.0,0.0,0.0,,SSW,,19.78
008HI,2024-01-16T05:25:00Z,21.983,87.44,2.392,199.8,0.0,0.0,10.3,,0.0,0.0,0.0,,SSW,,19.79
008HI,2024-01-16T05:30:00Z,21.972,87.52,2.521,195.2,0.0,0.0,10.3,12.74,0.0,0.0,0.0,,SSW,,19.79
008HI,2024-01-16T05:35:00Z,21.961,87.87,2.485,196.9,0.0,0.0,10.3,,0.0,0.0,0.0,,SSW,,19.85
008HI,2024-01-16T05:40:00Z,21.928,88.18,2.428,195.4,0.0,0.0,10.3,12.73,0.0,0.0,0.0,,SSW,,19.87
008HI,2024-01-16T05:45:00Z,21.95,88.19,2.3,190.8,0.0,0.0,10.3,,0.04,0.0,0.0,,S,,19.9
008HI,2024-01-16T05:50:00Z,21.967,88.2,2.526,203.6,0.0,0.0,10.3,12.73,0.0,0.0,0.0,,SSW,,19.91
008HI,2024-01-16T05:55:00Z,22.011,87.93,2.228,194.4,0.0,0.0,10.4,,0.01,0.0,0.0,,SSW,,19.91
008HI,2024-01-16T06:00:00Z,22.011,88.02,2.716,198.5,0.0,0.0,10.4,12.72,0.0,0.0,0.0,,SSW,,19.93
008HI,2024-01-16T06:05:00Z,21.939,88.02,2.5,200.3,0.0,0.0,10.4,,0.0,0.0,0.0,,SSW,,19.85
008HI,2024-01-16T06:10:00Z,21.894,87.84,2.973,189.8,0.0,0.0,10.4,12.72,0.0,0.0,0.0,,S,,19.78
008HI,2024-01-16T06:15:00Z,21.894,87.85,2.516,189.5,0.0,0.0,10.4,,0.02,0.0,0.0,,S,,19.78
008HI,2024-01-16T06:20:00Z,21.861,87.72,2.896,195.4,0.0,0.0,10.4,12.69,0.02,0.0,0.0,,SSW,,19.72
008HI,2024-01-16T06:25:00Z,21.828,87.84,3.112,191.3,0.0,0.0,10.4,,0.06,0.0,0.0,,SSW,,19.71
008HI,2024-01-16T06:30:00Z,21.767,88.24,2.325,195.6,0.0,0.0,10.4,12.59,0.27,0.0,0.0,,SSW,,19.73
008HI,2024-01-16T06:35:00Z,21.683,88.46,2.346,185.1,0.0,0.0,10.4,,0.33,0.0,0.0,,S,,19.68
008HI,2024-01-16T06:40:00Z,21.622,88.72,3.035,195.9,,0.0,10.4,12.58,0.48,0.0,0.0,,SSW,,19.67
008HI,2024-01-16T06:45:00Z,21.556,89.06,2.546,198.9,0.0,0.0,10.4,,0.75,0.0,0.0,,SSW,,19.67
008HI,2024-01-16T06:50:00Z,21.506,89.46,2.047,194.9,0.0,0.0,10.4,12.58,0.82,0.0,0.0,,SSW,,19.69
008HI,2024-01-16T06:55:00Z,21.45,89.71,2.907,200.0,0.0,0.0,10.4,,0.88,0.0,0.0,,SSW,,19.68
008HI,2024-01-16T07:00:00Z,21.478,89.52,2.727,190.7,0.0,0.0,10.4,12.57,0.66,0.0,0.0,,S,,19.67
008HI,2024-01-16T07:05:00Z,21.528,89.26,2.495,190.4,0.0,0.0,10.4,,0.45,0.0,0.0,,S,,19.68
008HI,2024-01-16T07:10:00Z,21.606,88.51,2.973,202.8,0.0,0.0,10.4,12.57,0.26,0.0,0.0,,SSW,,19.62
008HI,2024-01-16T07:15:00Z,21.667,87.99,2.557,205.1,0.0,0.0,10.4,,0.03,0.0,0.0,,SSW,,19.58
008HI,2024-01-16T07:20:00Z,21.683,87.96,2.243,195.7,0.0,0.0,10.4,12.57,0.0,0.0,0.0,,SSW,,19.59
008HI,2024-01-16T07:25:00Z,21.683,87.88,2.166,193.1,0.0,0.0,10.4,,0.0,0.0,0.0,,SSW,,19.58
008HI,2024-01-16T07:30:00Z,21.7,87.85,1.785,186.1,0.0,0.0,10.4,12.56,0.0,0.0,0.0,,S,,19.59
008HI,2024-01-16T07:35:00Z,21.672,88.45,1.867,183.7,0.0,0.0,10.4,,0.0,0.0,0.0,,S,,19.67
008HI,2024-01-16T07:40:00Z,21.589,89.08,2.037,185.5,0.0,0.0,10.4,12.56,0.0,0.0,0.0,,S,,19.7
008HI,2024-01-16T07:45:00Z,21.572,89.13,1.939,193.6,0.0,0.0,10.4,,0.0,0.0,0.0,,SSW,,19.7
008HI,2024-01-16T07:50:00Z,21.583,89.21,2.078,193.0,0.0,0.0,10.4,12.57,0.0,0.0,0.0,,SSW,,19.72
008HI,2024-01-16T07:55:00Z,21.528,89.31,2.12,183.9,,0.0,10.4,,0.0,0.0,0.0,,S,,19.68
008HI,2024-01-16T08:00:00Z,21.428,89.56,2.114,176.3,0.0,0.0,10.4,12.67,0.0,0.0,0.0,,S,,19.63
008HI,2024-01-16T08:05:00Z,21.333,89.71,2.063,183.4,0.0,0.0,10.4,,0.08,0.0,0.0,,S,,19.56
008HI,2024-01-16T08:10:00Z,21.272,89.81,2.13,177.9,0.0,0.0,10.4,12.66,0.28,0.0,0.0,,S,,19.52
008HI,2024-01-16T08:15:00Z,21.233,89.7,1.713,174.3,0.0,0.0,10.4,,0.31,0.0,0.0,,S,,19.46
008HI,2024-01-16T08:20:00Z,21.156,89.58,1.353,187.6,0.0,0.0,10.4,12.65,0.25,0.0,0.0,,S,,19.37
008HI,2024-01-16T08:25:00Z,21.05,89.46,1.476,187.2,0.0,0.0,10.4,,0.3,0.0,0.0,,S,,19.24
008HI,2024-01-16T08:30:00Z,21.044,89.03,1.353,164.1,0.0,0.0,10.4,12.65,0.43,0.0,0.0,,SSE,,19.16
008HI,2024-01-16T08:35:00Z,21.111,88.25,1.43,175.7,0.0,0.0,10.4,,0.64,0.0,0.0,,S,,19.08
008HI,2024-01-16T08:40:00Z,21.239,87.37,1.909,167.7,0.0,0.0,10.4,12.65,0.79,0.0,0.0,,SSE,,19.04
008HI,2024-01-16T08:45:00Z,21.328,86.75,1.842,163.4,0.0,0.0,10.4,,0.61,0.0,0.0,,SSE,,19.02
008HI,2024-01-16T08:50:00Z,21.389,86.37,1.996,163.3,0.0,0.0,10.4,12.65,0.59,0.0,0.0,,SSE,,19.01
008HI,2024-01-16T08:55:00Z,21.35,86.44,1.693,179.4,0.0,0.0,10.4,,0.37,0.0,0.0,,S,,18.98
008HI,2024-01-16T09:00:00Z,21.283,86.63,1.831,183.6,0.0,0.0,10.4,12.64,0.32,0.0,0.0,,S,,18.95
008HI,2024-01-16T09:05:00Z,21.25,86.78,1.878,172.2,0.0,0.0,10.4,,0.36,0.0,0.0,,S,,18.95
008HI,2024-01-16T09:10:00Z,21.267,86.8,1.929,150.0,0.0,0.0,10.4,12.64,0.41,0.0,0.0,,SSE,,18.97
008HI,2024-01-16T09:15:00Z,21.261,86.53,1.554,154.5,0.0,0.0,10.4,,0.36,0.0,0.0,,SSE,,18.91
008HI,2024-01-16T09:20:00Z,21.35,86.08,1.703,168.1,0.0,0.0,10.4,12.64,0.55,0.0,0.0,,SSE,,18.91
008HI,2024-01-16T09:25:00Z,21.606,84.87,2.166,164.8,0.0,0.0,10.4,,0.89,0.0,0.0,,SSE,,18.94
008HI,2024-01-16T09:30:00Z,21.806,83.77,1.903,169.0,0.0,0.0,10.4,12.63,0.81,0.0,0.0,,S,,18.92
008HI,2024-01-16T09:35:00Z,21.883,83.27,2.001,168.7,0.0,0.0,10.4,,0.6,0.0,0.0,,SSE,,18.9
008HI,2024-01-16T09:40:00Z,21.994,82.71,2.269,173.6,0.0,0.0,10.4,12.63,0.58,0.0,0.0,,S,,18.9
008HI,2024-01-16T09:45:00Z,22.128,81.91,2.402,164.5,0.0,0.0,10.4,,0.49,0.0,0.0,,SSE,,18.88
008HI,2024-01-16T09:50:00Z,22.322,80.88,2.053,179.4,0.0,0.0,10.4,12.59,0.47,0.0,0.0,,S,,18.86
008HI,2024-01-16T09:55:00Z,22.439,80.15,2.15,182.8,0.0,0.0,10.4,,0.32,0.0,0.0,,S,,18.83
